eventid,year,month,day,approxdate,extended,resolution,country,province,city,latitude,longitude,specificity,near_city,location,summary,crit1,crit2,crit3,doubted,alternative,multiple_attacks,success,suicide,attacktype1,attacktype2,attacktype3,targtype1,targsubtype1,corp1,target1,natlty1,targtype2,targsubtype2,corp2,target2,natlty2,targtype3,targsubtype3,corp3,target3,natlty3,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,lone_wolf,nperps,nperpcap,claimed,claimmode,claim2,claimmode2,claim3,claimmode3,compclaim,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,weaptype4,weapsubtype4,weapdetail,nkill,nkillus,nkillperp,nwound,nwoundus,nwoundperp,property,propextent,propextent,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,vehiclehij,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,nreleased,addnotes,scite1,scite2,scite3,intlog,intideo,intmisc,related
198407000003,1984,7,0,,0,,Burkina Faso,Centre,Ouagadougou suburb,12.347598,-1.538065,1.0,1,,,1,1,1,0,,0.0,1,0,Assassination,,,Government (General),Politician or Political Party Movement/Meeting/Rally,Upper Volta Armed Forces,"Deputy chief of staff, Mayor Amadou Savadogo",Burkina Faso,,,,,,,,,,,Unknown,,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Submachine gun,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
198505290011,1985,5,29,,0,,Niger,Tahoua,Tchin Tabaraden,15.898,5.803,1.0,0,,,1,1,1,0,,0.0,1,0,Unknown,,,Government (General),Government Building/Facility/Office,,Town and local govt. offices,Niger,,,,,,,,,,,People's Liberation Front of Niger,,,,,,,0,14.0,,,,,,,,,Unknown,,,,,,,,,3.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0,0,0,
198909190005,1989,9,19,,0,,Niger,Zinder,Goure district,16.864946,11.953771,1.0,0,,,1,1,1,0,,0.0,1,0,Bombing/Explosion,,,Airports & Aircraft,Aircraft (not at an airport),Union des Transports Aeriens (UTA),DC - 10 aircraft,France,,,,,,,,,,,Hezbollah,Islamic Jihad,,,,,,0,,,,,,,,,,Explosives,Unknown Explosive Type,,,,,,,Explosive,171.0,7.0,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,1,1,1,
199006290001,1990,6,29,,0,,Mali,Gao,Menaka,15.914432,2.397368,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,town of Menaka,Mali,,,,,,,,,,,Islamic Legion,,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,14.0,,,1.0,,,1,,,,,1.0,1.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0,0,0,
199101110003,1991,1,11,,0,,Mali,Unknown,Unknown,,,5.0,0,,,1,1,1,-9,,0.0,1,0,Assassination,,,Business,Multinational Corporation,Citroen,Truck Driver Charles Cabannes*,France,,,,,,,,,,,Unknown,,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,1.0,,0.0,0.0,,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,1,
199102180010,1991,2,18,,0,,Niger,Agadez,In Abangarit,17.905421,6.04542,1.0,0,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,NGO,,Common Organization for the fight against locusts,Camp of above organization,International,Unknown,,,,,,,,,,Tuareg extremists,Dissidents,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,1.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,1,
199102210007,1991,2,21,,0,,Mali,Gao,Bourem,17.669798,-0.299735,1.0,0,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,Business,Industrial/Textiles/Factory,,Phosphate Factory,Mali,,,,,,,,,,,Tuareg extremists,Rebels,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,2.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199102240002,1991,2,24,,0,,Niger,Niamey,Niamey,13.516667,2.116667,1.0,0,,,1,1,1,-9,,0.0,1,0,Facility/Infrastructure Attack,,,Government (Diplomatic),Embassy/Consulate,U.S. State Department,American Cultrual center,United States,,,,,,,,,,,Unknown,,,,,,,0,,,,,,,,,,Incendiary,,,,,,,,Incendiary,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),20000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,1,
199104060007,1991,4,6,,0,,Mali,Unknown,Unknown,,,5.0,0,,,0,1,1,1,Other Crime Type,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,Town of Tiltis,Mali,,,,,,,,,,,Unknown,,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199105050005,1991,5,5,,0,,Mali,Timbuktu,Tonka,16.13444,-3.748766,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,Town in Tonka District,Mali,,,,,,,,,,,Tuareg extremists,Dissidents,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
